date,meal,food,portion-amt,portion-unit
05-Jun-23,lunch,rotisserie-chicken,78,g
05-Jun-23,lunch,white-rice,135,g
05-Jun-23,lunch,brown-rice,135,g
05-Jun-23,lunch,cherry-tomatoes,180,g
05-Jun-23,lunch,white-rice,79,g
05-Jun-23,lunch,brown-rice,79,g
05-Jun-23,lunch,cucumber,132,g
05-Jun-23,lunch,snap-peas,118,g
05-Jun-23,lunch,baby-carrots,140,g
,,,,
06-Jun-23,lunch,rotisserie-chicken,90,g
06-Jun-23,lunch,white-rice,128.5,g
06-Jun-23,lunch,brown-rice,128.5,g
06-Jun-23,lunch,cherry-tomatoes,150,g
06-Jun-23,lunch,broccoli,37,g
06-Jun-23,lunch,cucumber,188,g
06-Jun-23,lunch,baby-carrots,160,g
06-Jun-23,lunch,snap-peas,115,g
,,,,
07-Jun-23,breakfast,banana,145,g
07-Jun-23,breakfast,frozen-berries,80,g
07-Jun-23,breakfast,cereal-granola,56.4,g
07-Jun-23,breakfast,mixed-nuts,37.6,g
,,,,
07-Jun-23,lunch,rotisserie-chicken,87,g
07-Jun-23,lunch,white-rice,83,g
07-Jun-23,lunch,brown-rice,83,g
07-Jun-23,lunch,broccoli,66,g
07-Jun-23,lunch,cherry-tomatoes,158,g
07-Jun-23,lunch,cucumber,154,g
07-Jun-23,lunch,baby-carrots,118,g
07-Jun-23,lunch,snap-peas,87,g
07-Jun-23,lunch,apple,141,g
,,,,
07-Jun-23,snack,clif-bar,50,g
07-Jun-23,snack,thats-it-bar,20,g
07-Jun-23,snack,juice-box,200,g
,,,,
08-Jun-23,breakfast,banana,119,g
08-Jun-23,breakfast,frozen-berries,61,g
08-Jun-23,breakfast,cereal-granola,65.1,g
08-Jun-23,breakfast,mixed-nuts,27.9,g
08-Jun-23,breakfast,yoghurt-9%,110,g
,,,,
08-Jun-23,lunch,rotisserie-chicken,91,g
08-Jun-23,lunch,white-rice,64,g
08-Jun-23,lunch,brown-rice,64,g
08-Jun-23,lunch,cherry-tomatoes,202,g
08-Jun-23,lunch,strawberries,208,g
,,,,
09-Jun-23,breakfast,banana,124,g
09-Jun-23,breakfast,frozen-berries,123,g
09-Jun-23,breakfast,cereal-granola,64.4,g
09-Jun-23,breakfast,mixed-nuts,27.6,g
09-Jun-23,breakfast,yoghurt-9%,81,g
,,,,
09-Jun-23,lunch,cheese-bun,159,g
09-Jun-23,lunch,rotisserie-chicken,98,g
09-Jun-23,lunch,baby-carrots,105,g
09-Jun-23,lunch,strawberries,50,g
09-Jun-23,lunch,orange-navel,319,g
,,,,
12-Jun-23,breakfast,banana,90,g
12-Jun-23,breakfast,frozen-berries,70,g
12-Jun-23,breakfast,yoghurt-9%,65,g
12-Jun-23,breakfast,cereal-mix,121,g
,,,,
12-Jun-23,snack,salami,7,g
,,,,
12-Jun-23,lunch,rotisserie-chicken,95,g
12-Jun-23,lunch,white-rice,88.5,g
12-Jun-23,lunch,brown-rice,88.5,g
12-Jun-23,lunch,cherry-tomatoes,171,g
12-Jun-23,lunch,orange-navel,221,g
12-Jun-23,lunch,baby-carrots,99,g
12-Jun-23,lunch,cucumber,108,g
12-Jun-23,lunch,snap-peas,78,g
,,,,
12-Jun-23,snack,dried-mango,15,g
12-Jun-23,snack,paqui-zesty-salsa-verde,155,g
12-Jun-23,snack,skor-mini,30,g
,,,,
13-Jun-23,breakfast,banana,112,g
13-Jun-23,breakfast,frozen-berries,74,g
13-Jun-23,breakfast,yoghurt-9%,133,g
13-Jun-23,breakfast,cereal-mix,100,g
,,,,
13-Jun-23,lunch,rotisserie-chicken,102,g
13-Jun-23,lunch,white-rice,109,g
13-Jun-23,lunch,brown-rice,109,g
13-Jun-23,lunch,cherry-tomatoes,177,g
13-Jun-23,lunch,orange-navel,251,g
13-Jun-23,lunch,baby-carrots,92,g
13-Jun-23,lunch,cucumber,236,g
13-Jun-23,lunch,snap-peas,60,g
13-Jun-23,snack,skor-mini,14,g
,,,,
14-Jun-23,breakfast,banana,124,g
14-Jun-23,breakfast,cereal-mix,108,g
14-Jun-23,breakfast,frozen-berries,64,g
14-Jun-23,breakfast,yoghurt-9%,109,g
,,,,
14-Jun-23,lunch,rotisserie-chicken,103,g
14-Jun-23,lunch,white-rice,148.5,g
14-Jun-23,lunch,brown-rice,148.5,g
14-Jun-23,lunch,cherry-tomatoes,108,g
14-Jun-23,lunch,cheddar-cheese-crackerbarrel-marble,17,g
14-Jun-23,lunch,apple,178,g
14-Jun-23,lunch,baby-carrots,87,g
14-Jun-23,lunch,cucumber,129,g
14-Jun-23,lunch,snap-peas,66,g
,,,,
14-Jun-23,dinner,rotisserie-chicken,97,g
14-Jun-23,dinner,white-rice,96.5,g
14-Jun-23,dinner,brown-rice,96.5,g
14-Jun-23,dinner,baby-carrots,133,g
